AFAIK,As Far As I Know
AFK,Away From Keyboard
AMA,Ask Me Anything
ASAP,As Soon As Possible
ATK,At The Keyboard
ATM,At The Moment
BAK,Back At Keyboard
BBL,Be Back Later
BBS,Be Back Soon
BFN,Bye For Now
B4N,Bye For Now
BRB,Be Right Back
BRT,Be Right There
BTW,By The Way
B4,Before
B4N,Bye For Now
CU,See You
CUL8R,See You Later
CYA,See You
DM,Direct Message
FAQ,Frequently Asked Questions
FC,Fingers Crossed
FWIW,For What It's Worth
FYI,For Your Information
GAL,Get A Life
GG,Good Game
GN,Good Night
GMTA,Great Minds Think Alike
G2G,Got To Go
GR8,Great
G9,Genius
IC,I See
ILU,I Love You
IMHO,In My Humble Opinion
IMO,In My Opinion
IOW,In Other Words
IRL,In Real Life
LDR,Long Distance Relationship
LMAO,Laugh My Ass Off
LMK,Let Me Know
LOL,Laughing Out Loud
LTNS,Long Time No See
L8R,Later
MTE,My Thoughts Exactly
M8,Mate
NRN,No Reply Necessary
NMU,Not Much, You
OIC,Oh I See
PITA,Pain In The Ass
PRT,Party
PRW,Parents Are Watching
QPSA?,Que Pasa?
ROFL,Rolling On The Floor Laughing
ROFLOL,Rolling On The Floor Laughing Out Loud
ROFLMAO,Rolling On The Floor Laughing My Ass Off
RT,Retweet
SK8,Skate
TBH,To Be Honest
THX,Thank You
TLDR,Too Long Didn't Read
TTFN,Ta-Ta For Now!
TTYL,Talk To You Later
U,You
U2,You Too
U4E,Yours For Ever
WB,Welcome Back
WTF,What The Fuck
WTG,Way To Go
W8,Wait
